tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,tmclinear,frc,border_set,f_system,urban_code,faciltype,structype,thrulanes,route_numb,route_sign,route_qual,altrtename,aadt,aadt_singl,aadt_combi,nhs,nhs_pct,strhnt_typ,strhnt_pct,truck,isprimary,active_start_date,active_end_date,thrulanes_unidir,aadt_unidir,aadt_singl_unidir,aadt_combi_unidir
114+05800,OR-99E,NORTHBOUND,I-5 (PORTLAND) (NORTH),OR,MULTNOMAH,97217,45.59037,-122.66636,45.60366,-122.68188,1.214629,76.0,America/Los_Angeles,P1.11,USA,258,3,N,3,71317,2,1,4,99,4,1,99E,14508,1158,919,3,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,7254,579,460
114-11658,NE SANDY BLVD,SOUTHBOUND,E BURNSIDE ST,OR,MULTNOMAH,97232,45.52592,-122.64548,45.52371,-122.6514,0.324735,30.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11659,NE SANDY BLVD,SOUTHBOUND,NE 20TH AVE,OR,MULTNOMAH,97232,45.52917,-122.63717,45.52592,-122.64548,0.460674,29.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-12631,NW FRONT AVE,SOUTHBOUND,NW 15TH AVE,OR,MULTNOMAH,97209,45.54217,-122.69542,45.53654,-122.68609,0.595982,1.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11663,NE SANDY BLVD,SOUTHBOUND,NE 57TH AVE,OR,MULTNOMAH,97213,45.54822,-122.58921,45.54223,-122.60459,0.85142,24.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11664,NE SANDY BLVD,SOUTHBOUND,NE FREMONT ST,OR,MULTNOMAH,97213,45.55243,-122.57865,45.54822,-122.58921,0.587952,23.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11661,NE SANDY BLVD,SOUTHBOUND,I-84/US-30 BUS,OR,MULTNOMAH,97213,45.53837,-122.61496,45.53392,-122.62523,0.584549,26.0,America/Los_Angeles,P1.3,USA,1571,4,N,1,71317,4,1,1,,1,1,,10948,,,1,1,1,100,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,10948,,
114-11662,NE SANDY BLVD,SOUTHBOUND,NE 47TH AVE,OR,MULTNOMAH,97213,45.54223,-122.60459,45.53837,-122.61496,0.568698,25.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11665,NE SANDY BLVD,SOUTHBOUND,OR-213/NE 82ND AVE,OR,MULTNOMAH,97220,45.55709,-122.56723,45.55243,-122.57865,0.639429,22.0,America/Los_Angeles,P1.11,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114-11666,NE SANDY BLVD,SOUTHBOUND,I-205,OR,MULTNOMAH,97220,45.55914,-122.56198,45.55776,-122.56554,0.196832,20.0,America/Los_Angeles,P1.3,USA,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,,,,
114+14888,US-26,WESTBOUND,SE MILWAUKIE AVE,OR,MULTNOMAH,97202,45.49749,-122.60905,45.50118,-122.65423,2.238401,158.001,America/Los_Angeles,P1.11,USA,209,3,N,3,71317,2,,4,26,3,1,26,31402,900,425,1,100,,,1,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,2,15701,450,213
114+08190,N INTERSTATE AVE,NORTHBOUND,N GOING ST,OR,MULTNOMAH,97227,45.54476,-122.67745,45.55611,-122.6822,0.877635,5.0,America/Los_Angeles,P1.11,USA,483,4,N,4,71317,2,,2,,1,1,,8000,483,119,5,100,,,,1,2022-01-01 00:00:00-05:00,2023-01-01 00:00:00-05:00,1,4000,242,60
